startphrase,ending,startphrase_lem,ending_lem,labels,qid,xid,simile,negation,intensification,negation all,not all
The cat had the fur of a baby's bottom,The cat was not furry,The cat have the fur of a baby bottom ,The cat be not furry ,1,215,215_1,the-of,not,0,neg,TRUE
She thinks of herself as the mother of humanity.,She is self-righteous and entitled.,She think of herself as the mother of humanity . ,She be self righteous and entitle . ,0,223,223_0,the-of,0,0,aff,FALSE
She thinks of herself as a particle of sand in the desert.,She is humble and respectful towards the different people.,She think of herself as a particle of sand in the desert . ,She be humble and respectful towards the different people . ,1,223,223_1,as,0,0,aff,FALSE
He was as cautious as a mother with a newborn,he is careful,He be as cautious as a mother with a newborn ,he be careful ,0,225,225_0,as-as,0,0,aff,FALSE
He was as cautious as a drunk driver on the highway,he is reckless,He be as cautious as a drunk driver on the highway ,he be reckless ,1,225,225_1,as-as,0,0,aff,FALSE
The dog is as charming as a salesman,the dog is flattering,The dog be as charming as a salesman ,the dog be flatter ,0,226,226_0,as-as,0,0,aff,FALSE
The dog is as charming as a sick racoon,the dog is gross,The dog be as charming as a sick racoon ,the dog be gross ,1,226,226_1,as-as,0,0,aff,FALSE
The girl is as cheerful as a kid in a toy store,she is happy,The girl be as cheerful as a kid in a toy store ,she be happy ,0,227,227_0,as-as,0,0,aff,FALSE
The girl is as cheerful as a mom at a funeral,she is sad,The girl be as cheerful as a mom at a funeral ,she be sad ,1,227,227_1,as-as,0,0,aff,FALSE
The bathroom has the space of Neptune's orbit around the sun,The bathroom is spacious,The bathroom have the space of Neptune orbit around the sun ,The bathroom be spacious ,0,230,230_0,the-of,0,0,aff,FALSE
The bathroom has the space of an egg with a baby chicken in it,The bathroom is cramped,The bathroom have the space of an egg with a baby chicken in it ,The bathroom be cramp ,1,230,230_1,the-of,0,0,aff,FALSE
Her beauty is like the vaquita.,Her beauty is quite rare.,Her beauty be like the vaquita . ,Her beauty be quite rare . ,0,231,231_0,like,0,0,aff,FALSE
Her beauty is like the Peruvian anchoveta.,Her beauty is pretty common.,Her beauty be like the Peruvian anchoveta . ,Her beauty be pretty common . ,1,231,231_1,like,0,0,aff,FALSE
The boys are feeling like burrowing shrews today.,The boys are very active today.,The boy be feel like burrow shrew today . ,The boy be very active today . ,0,232,232_0,like,0,0,aff,FALSE
The boys are feeling like nurse sharks today.,The boys are moving sluggish today.,The boy be feel like nurse shark today . ,The boy be move sluggish today . ,1,232,232_1,like,0,0,aff,FALSE
The disease was as serious as a funeral,The disease was very serious,The disease be as serious as a funeral ,The disease be very serious ,0,234,234_0,as-as,0,not,aff,FALSE
The disease was as serious as a hangnail,The disease was not serious,The disease be as serious as a hangnail ,The disease be not serious ,1,234,234_1,as-as,not,0,neg,TRUE
The doctor was dressed like Liberace,The doctor was dressed well,The doctor be dress like Liberace ,The doctor be dress well ,0,235,235_0,like,0,0,aff,FALSE
The doctor was dressed like a car repairman,The doctor was dressed poorly,The doctor be dress like a car repairman ,The doctor be dress poorly ,1,235,235_1,like,0,0,aff,FALSE
The reporter has the charisma of a sloth,The reporter is boring,The reporter have the charisma of a sloth ,The reporter be bore ,0,236,236_0,the-of,0,0,aff,FALSE
The reporter has the charisma of a Jack Russel terrier,The report is over excited,The reporter have the charisma of a Jack Russel terrier ,The report be over excited ,1,236,236_1,the-of,0,0,aff,FALSE
The wood floor is as slippery as a piece of sand paper,The floor is not slippery at all,The wood floor be as slippery as a piece of sand paper ,The floor be not slippery at all ,0,238,238_0,as-as,not,0,neg,TRUE
The wood floor is as slippery as a banana peel,The floor is super slippery.,The wood floor be as slippery as a banana peel ,The floor be super slippery . ,1,238,238_1,as-as,0,not,aff,FALSE
The reporter was so high he could hunt ducks with a rake,The reporter was under the influence of drugs,The reporter be so high he could hunt duck with a rake ,The reporter be under the influence of drug ,0,239,239_0,,0,0,aff,FALSE
The reporter was so high he could do differential equations with ease,The reporter was not drugged at all.,The reporter be so high he could do differential equation with ease ,The reporter be not drug at all . ,1,239,239_1,,0,0,neg,TRUE
The gorilla tape was sticky like melted chocolate bars in a wrapper.,The tape was gooey and unwilling to release,The gorilla tape be sticky like melted chocolate bar in a wrapper . ,The tape be gooey and unwilling to release ,0,240,240_0,like,0,0,aff,FALSE
The gorilla tape was sticky like dried mouse nest material.,The tape was dry and fluffy,The gorilla tape be sticky like dry mouse nest material . ,The tape be dry and fluffy ,1,240,240_1,like,0,0,aff,FALSE
"Death, the harvester of souls, waited outside the door like a drooling dog sitting at the base of a tree waiting for a squirrel.",Death was patiently waiting,Death the harvester of soul wait outside the door like a drool dog sit at the base of a tree wait for a squirrel . ,Death be patiently wait ,0,241,241_0,like,0,0,aff,FALSE
"Death, the harvester of souls, waited outside the door like a kindergarten class that ran out of Ritalin while in a puppy farm",Death ran around in every direction simultaneously.,Death the harvester of soul wait outside the door like a kindergarten class that run out of Ritalin while in a puppy farm ,Death ran around in every direction simultaneously . ,1,241,241_1,like,0,0,aff,FALSE
"On the field, the soccer player was a tornado","On the field, the soccer player was very aggressive.",On the field the soccer player be a tornado ,On the field the soccer player be very aggressive . ,0,242,242_0,,0,0,aff,FALSE
"On the field, the soccer player was a light breeze","On the field, the soccer player wasn't very impactful.",On the field the soccer player be a light breeze ,On the field the soccer player be not very impactful . ,1,242,242_1,,0,0,neg,TRUE
The wine tasted of my lover's lips,The wine tasted great.,The wine taste of my lover lip ,The wine taste great . ,0,246,246_0,,0,0,aff,FALSE
The wine tasted of old shoes,The wine tasted lousy.,The wine taste of old shoe ,The wine taste lousy . ,1,246,246_1,,0,0,aff,FALSE
The effects of the disease on her body was an earthquake,The effects were devestating,The effect of the disease on her body be an earthquake ,The effect be devestating ,0,249,249_0,,0,0,aff,FALSE
The effects of the disease on her body was a raindrop,The effects were minimal,The effect of the disease on her body be a raindrop ,The effect be minimal ,1,249,249_1,,0,0,aff,FALSE
The article from the reporter has the insights of A first grader's primer,The article is shallow and lacks depth,The article from the reporter have the insight of A first grader primer ,The article be shallow and lack depth ,0,251,251_0,the-of,0,0,aff,FALSE
The article from the reporter has the insights of An expert journalist,The article is deep and meaningful,The article from the reporter have the insight of An expert journalist ,The article be deep and meaningful ,1,251,251_1,the-of,0,0,aff,FALSE
Her cheeks were the color of a delicate rose,Her cheeks were pink,Her cheek be the color of a delicate rise ,Her cheek be pink ,0,258,258_0,the-of,0,0,aff,FALSE
Her cheeks were the color of chalk,Her cheeks were white,Her cheek be the color of chalk ,Her cheek be white ,1,258,258_1,the-of,0,0,aff,FALSE
He's busy as a beaver,He's busy.,He busy as a beaver ,He busy . ,0,261,261_0,as,0,not,aff,FALSE
He's busy as a sloth,"He's lazy, not busy at all.",He busy as a sloth ,He lazy not busy at all . ,1,261,261_1,as,not,0,neg,TRUE
The book is as thick as a board,The book is thick.,The book be as thick as a board ,The book be thick . ,0,262,262_0,as-as,0,as as,aff,FALSE
The book is as thick as piece of paper,The book is thin.,The book be as thick as piece of paper ,The book be thin . ,1,262,262_1,as-as,as as,0,aff,FALSE
The man has the build of Hercules,The man is very muscular.,The man have the build of Hercules ,The man be very muscular . ,0,264,264_0,the-of,0,not,aff,FALSE
The man has the build of a third-grader,The man doesn't have any muscles.,The man have the build of a third grader ,The man do not have any muscle . ,1,264,264_1,the-of,not,0,neg,TRUE
The whale is as a mountain,The whale is enormous.,The whale be as a mountain ,The whale be enormous . ,0,266,266_0,as,0,0,aff,FALSE
The whale is as a tadpole,The whale is small.,The whale be as a tadpole ,The whale be small . ,1,266,266_1,as,0,0,aff,FALSE
The computer is as fast as a fighter jet.,The computer is fast.,The computer be as fast as a fighter jet . ,The computer be fast . ,0,267,267_0,as-as,0,as as,aff,FALSE
The computer is as fast as a snail.,The computer is slow.,The computer be as fast as a snail . ,The computer be slow . ,1,267,267_1,as-as,as as,0,aff,FALSE
He is as brave as a mouse,He is a coward,He be as brave as a mouse ,He be a coward ,0,269,269_0,as-as,as as,0,aff,FALSE
He is as brave as a lion,He is brave,He be as brave as a lion ,He be brave ,1,269,269_1,as-as,0,as as,aff,FALSE
the dog was as friendly as a bunny,it was nice,the dog be as friendly as a bunny ,it be nice ,0,273,273_0,as-as,0,0,aff,FALSE
the dog was as friendly as a snake,it was mean,the dog be as friendly as a snake ,it be mean ,1,273,273_1,as-as,0,0,aff,FALSE
Talking to him was like trying to corner a snake,He was duplicitous,Talking to him be like try to corner a snake ,He be duplicitous ,0,275,275_0,like,0,0,aff,FALSE
Talking to him was like trying to corner a rabid dog,He was dangerous,Talking to him be like try to corner a rabid dog ,He be dangerous ,1,275,275_1,like,0,0,aff,FALSE
The stain was as dark as midnight,the stain was easy to point out,The stain be as dark as midnight ,the stain be easy to point out ,0,279,279_0,as-as,0,0,aff,FALSE
The stain was as dark as noon,the stain was light,The stain be as dark as noon ,the stain be light ,1,279,279_1,as-as,0,0,aff,FALSE
The vase was as fragile as glass,The vase is fragile,The vase be as fragile as glass ,The vase be fragile ,0,280,280_0,as-as,0,not,aff,FALSE
The vase was as fragile as stone,The vase is resilient and not fragile,The vase be as fragile as stone ,The vase be resilient and not fragile ,1,280,280_1,as-as,not,0,neg,TRUE
The NBA star was a ballet dancer.,The NBA star was graceful.,The NBA star be a ballet dancer . ,The NBA star be graceful . ,0,290,290_0,,0,0,aff,FALSE
The NBA star was a lumberjack.,The NBA star was clumsy.,The NBA star be a lumberjack . ,The NBA star be clumsy . ,1,290,290_1,,0,0,aff,FALSE
He knew her like a sister,He knew her very well,He know her like a sister ,He know her very well ,0,293,293_0,like,0,not,aff,FALSE
He knew her like a stranger,He didn't know her well.,He know her like a stranger ,He do not know her well . ,1,293,293_1,like,not,0,neg,TRUE
It was as hot as a pile of snow.,It wasn't hot at all.,It be as hot as a pile of snow . ,It be not hot at all . ,0,295,295_0,as-as,not,0,neg,TRUE
It was as hot as a desert.,It was very hot.,It be as hot as a desert . ,It be very hot . ,1,295,295_1,as-as,0,not,aff,FALSE
The book was as thick as a piece of tissue paper.,The book was very thin.,The book be as thick as a piece of tissue paper . ,The book be very thin . ,0,296,296_0,as-as,as as,0,aff,FALSE
The book was as thick as a brick.,The book was very thick.,The book be as thick as a brick . ,The book be very thick . ,1,296,296_1,as-as,0,as as,aff,FALSE
The girl's academic marks were as high as a skyscraper,The girl's academic marks were impressive.,The girl academic mark be as high as a skyscraper ,The girl academic mark be impressive . ,0,298,298_0,as-as,0,0,aff,FALSE
The girl's academic marks were as high as a basement,The girl's academic marks were poor.,The girl academic mark be as high as a basement ,The girl academic mark be poor . ,1,298,298_1,as-as,0,0,aff,FALSE
Her interpretive dance has the depth of an unattended litter box,Her interpretive dance is shallow,Her interpretive dance have the depth of an unattended litter box ,Her interpretive dance be shallow ,0,304,304_0,the-of,0,0,aff,FALSE
Her interpretive dance has the depth of a Steinbeck novel,Her interpretive dance is profound,Her interpretive dance have the depth of a Steinbeck novel ,Her interpretive dance be profound ,1,304,304_1,the-of,0,0,aff,FALSE
The elderly cat has the energy of a throw pillow,The cat doesn't move,The elderly cat have the energy of a throw pillow ,The cat do not move ,0,305,305_0,the-of,not,0,neg,TRUE
The elderly cat has the energy of a class at recess,The cat is hyperactive,The elderly cat have the energy of a class at recess ,The cat be hyperactive ,1,305,305_1,the-of,0,not,aff,FALSE
She was as attractive as Aphrodite,she was pretty,She be as attractive as Aphrodite ,she be pretty ,0,308,308_0,as-as,0,0,aff,FALSE
